,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
20,31,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,Internet Computer,ICP,4002317397.19,9583285970.41,19.7,21.28,20.71,20.05,3.19,267114780.7,20.11,345224971.6,0.08626,0.24,199026765.0,0.0,476556508.0,-0.5312,21.72,19.7,28.48,18.58,28.48,18.58,58.26,18.58,750.73,0.0,750.73,0.0,"May 10, 2021","May 10, 2021",2022-01-26 21:26:31.257410,-2.641471904525112
21,34,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,Hedera,HBAR,3836386142.81,10601973574.65,0.1982,0.2164,0.2067,0.2117,2.4,88407832.28,0.212,93011891.94,0.02424,0.23,18092792421.0,50000000000.0,50000000000.0,-0.001481,0.2226,0.2075,0.2817,0.1874,0.2817,0.1874,0.4768,0.1874,0.5701,0.07712,0.5701,0.01001,"Sep 16, 2021","Jan 02, 2020",2022-01-26 21:26:33.587448,-0.6985849056603773
22,35,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VeChain,VET,3459973031.51,4664863331.56,0.04964,0.05415,0.05136,0.05331,3.81,260034943.86,0.0538,319546413.36,0.09236,0.21,64315576989.0,86712634466.0,86712634466.0,0.001233,0.05837,0.05157,0.07469,0.0441,0.07469,0.0441,0.1875,0.0441,0.2782,0.02448,0.2782,0.001678,"Apr 17, 2021","Mar 13, 2020",2022-01-26 21:26:37.271305,2.2918215613382897
23,37,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,Ethereum Classic,ETC,3283872106.26,5220233965.6,23.28,24.23,24.1,24.0,0.43,402838369.98,24.78,420747737.14,0.1281,0.19,132544223.0,210700000.0,210700000.0,0.9911,26.19,23.53,31.93,21.74,31.93,21.74,64.94,21.74,176.16,6.67,176.16,0.4524,"May 06, 2021","Jul 25, 2016",2022-01-26 21:26:39.704475,3.9995964487489912
24,38,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,Klaytn,KLAY,3238024174.8,13286363481.82,1.17,1.24,1.22,1.23,0.71,58364133.98,1.23,119705311.52,0.03697,0.19,2627506411.0,0.0,10781267632.0,0.0138,1.35,1.21,1.5,1.09,1.5,1.09,1.86,1.05,4.38,0.5136,4.38,0.05733,"Apr 02, 2021","May 06, 2020",2022-01-26 21:26:42.930127,1.121951219512195
25,39,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Helium,HNT,3176524513.66,6487370806.03,22.32,25.81,22.58,25.68,13.75,35195893.48,29.09,62687347.76,0.01973,0.19,109191379.0,223000000.0,223000000.0,3.74,30.67,24.54,31.32,19.96,31.32,19.96,55.22,19.96,55.22,1.84,55.22,0.2534,"Nov 12, 2021","Jun 10, 2020",2022-01-26 21:26:45.297606,12.856651770367824
26,41,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,Elrond,EGLD,2993436707.71,4555084456.9,128.73,142.07,131.2,140.79,7.31,151868918.48,144.99,182464615.66,0.06095,0.18,20645410.0,31415926.0,23016298.0,5.29,157.84,137.15,185.19,113.74,269.62,113.74,542.58,113.74,542.58,45.99,542.58,6.54,"Nov 23, 2021","Oct 07, 2020",2022-01-26 21:26:49.642615,3.6485274846541143
27,42,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,Filecoin,FIL,2928072551.36,2928072551.36,17.75,18.5,18.41,18.15,1.43,331086545.77,19.03,449434442.71,0.1535,0.17,153840042.0,0.0,153840042.0,0.8841,20.21,17.84,28.65,16.89,28.65,16.89,69.64,16.89,237.24,16.89,237.24,1.83,"Apr 01, 2021","Aug 29, 2019",2022-01-26 21:26:52.032283,4.645822385706778
28,44,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,Theta Network,THETA,2824808422.84,2824808422.84,2.49,2.7,2.59,2.61,0.72,251347358.37,2.82,433809077.31,0.1536,0.17,1000000000.0,1000000000.0,1000000000.0,0.1912,3.1,2.57,4.64,2.29,4.64,2.29,8.56,2.29,15.9,1.85,15.9,0.03977,"Apr 16, 2021","Mar 13, 2020",2022-01-26 21:26:54.269953,6.7801418439716326
29,45,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,Monero,XMR,2666490376.26,2666490376.26,140.38,147.21,146.85,144.73,1.45,209941642.57,147.57,205725319.42,0.07715,0.16,18069134.0,0.0,18069134.0,1.68,157.96,143.33,209.6,135.32,209.6,135.32,293.96,135.32,517.62,124.12,517.62,0.213,"May 07, 2021","Jan 14, 2015",2022-01-26 21:26:57.513998,1.1384427729213256
30,46,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,Tezos,XTZ,2622127488.34,2706692921.16,2.86,3.0,2.97,2.92,1.66,107530806.55,2.99,114724981.22,0.04375,0.16,875661064.0,0.0,903901742.0,0.05117,3.21,2.88,4.08,2.56,4.08,2.56,6.87,2.56,9.18,2.11,12.19,0.3146,"Dec 17, 2017","Dec 07, 2018",2022-01-26 21:27:01.060165,1.7113712374581938
