,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date
29,45,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,Monero,XMR,"$2,666,490,376.26","$2,666,490,376.26",$140.38,$147.21,$146.85,$144.73,1.45%,"$209,941,642.57",$147.57,"$205,725,319.42",0.07715,0.16%,"18,069,134",No,"18,069,134",$1.68,$157.96,$143.33,$209.60,$135.32,$209.60,$135.32,$293.96,$135.32,$517.62,$124.12,$517.62,$0.213,"May 07, 2021","Jan 14, 2015",2022-01-26 21:26:57.513998
30,46,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,Tezos,XTZ,"$2,622,127,488.34","$2,706,692,921.16",$2.86,$3.00,$2.97,$2.92,1.66%,"$107,530,806.55",$2.99,"$114,724,981.22",0.04375,0.16%,"875,661,064",No,"903,901,742",$0.05117,$3.21,$2.88,$4.08,$2.56,$4.08,$2.56,$6.87,$2.56,$9.18,$2.11,$12.19,$0.3146,"Dec 17, 2017","Dec 07, 2018",2022-01-26 21:27:01.060165
31,47,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,IOTA,MIOTA,"$2,272,932,322.62","$2,272,932,322.62",$0.7759,$0.8205,$0.7899,$0.8115,2.74%,"$41,325,168.92",$0.8177,"$35,963,193.95",0.01582,0.13%,"2,779,530,283","2,779,530,283","2,779,530,283",$0.006219,$0.8625,$0.802,$1.11,$0.7,$1.11,$0.7,$1.66,$0.7,$2.68,$0.3791,$5.69,$0.07962,"Dec 19, 2017","Mar 13, 2020",2022-01-26 21:27:03.323752
32,48,https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png,Harmony,ONE,"$2,246,489,378.66","$2,581,242,035.39",$0.1812,$0.1968,$0.1923,$0.1913,0.54%,"$199,854,338.63",$0.1937,"$225,062,759.02",0.1002,0.13%,"11,600,671,708",No,"13,329,304,708",$0.0004801,$0.2073,$0.1848,$0.2995,$0.1688,$0.2995,$0.1688,$0.3774,$0.1418,$0.3798,$0.006322,$0.3798,$0.001257,"Oct 26, 2021","Mar 13, 2020",2022-01-26 21:27:05.690614
33,48,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,EOS,EOS,"$2,189,056,280.05","$2,337,960,914.22",$2.17,$2.23,$2.20,$2.22,1.03%,"$362,232,469.94",$2.24,"$421,034,703.61",0.1923,0.13%,"978,888,236",No,"1,045,474,461",$0.0377,$2.37,$2.19,$2.84,$2.00,$2.84,$2.00,$5.37,$2.00,$14.88,$2.00,$22.89,$0.4802,"Apr 29, 2018","Oct 23, 2017",2022-01-26 21:27:07.928218
34,54,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,Stacks,STX,"$1,792,707,592.25","$2,515,108,411.37",$1.26,$1.39,$1.36,$1.36,0.21%,"$65,027,738.77",$1.38,"$85,832,277.91",0.04788,0.11%,"1,295,825,813","1,818,000,000","1,352,464,600",$0.0192,$1.52,$1.33,$2.19,$1.20,$2.19,$1.20,$3.61,$1.20,$3.61,$0.4107,$3.61,$0.04501,"Nov 16, 2021","Mar 13, 2020",2022-01-26 21:27:10.621190
35,55,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,Bitcoin SV,BSV,"$1,742,671,663.58","$1,929,926,032.03",$88.83,$93.80,$91.56,$90.45,1.22%,"$161,344,829.15",$91.90,"$148,874,473.75",0.08543,0.10%,"18,962,439","21,000,000","18,962,439",$1.91,$95.53,$88.83,$111.77,$84.06,$111.77,$84.06,$198.76,$83.87,$491.64,$83.87,$491.64,$36.87,"Apr 16, 2021","Nov 23, 2018",2022-01-26 21:27:12.818399
36,57,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png,Flow,FLOW,"$1,597,071,407.13","$6,919,913,126.80",$4.55,$5.04,$4.85,$4.91,1.4%,"$156,865,841.90",$5.02,"$213,293,769.32",0.1336,0.09%,"318,082,398",No,"1,378,211,739",$0.08445,$5.43,$4.78,$7.56,$4.34,$7.56,$4.34,$16.78,$4.34,$46.16,$4.34,$46.16,$4.34,"Apr 05, 2021","Jan 24, 2022",2022-01-26 21:27:15.044188
37,60,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png,Kusama,KSM,"$1,435,222,470.20","$1,635,358,180.88",$170.16,$180.43,$174.55,$173.75,0.46%,"$67,755,340.76",$169.45,"$78,823,661.17",0.05492,0.09%,"8,470,098",No,"9,651,217",$-5.56,$179.88,$169.34,$256.82,$162.57,$256.82,$162.57,$518.91,$162.57,$623.75,$90.63,$623.75,$0.9158,"May 18, 2021","Jan 14, 2020",2022-01-26 21:27:17.655043
38,63,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,eCash,XEC,"$1,354,740,635.94","$1,500,339,795.11",$0.0000688,$0.00007222,$0.00007188,$0.00007191,0.05%,"$18,234,658.52",$0.00007144,"$20,957,506.57",0.01547,0.08%,"18,962,073,423,313","21,000,000,000,000","18,899,704,673,313",$-0.00000005289,$0.00007644,$0.0000705,$0.0000966,$0.00006394,$0.0000966,$0.00006394,$0.005112,$0.00006394,$0.005112,$0.0000173,$0.005112,$0.0000173,"Nov 10, 2021","Jul 20, 2021",2022-01-26 21:27:21.465876
39,67,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,Neo,NEO,"$1,317,316,755.66","$1,867,505,793.60",$17.61,$18.35,$18.10,$18.23,0.72%,"$92,080,603.65",$18.68,"$106,668,542.31",0.08097,0.08%,"70,538,831","100,000,000","100,000,000",$0.5456,$19.71,$17.88,$24.66,$16.21,$24.66,$16.21,$53.42,$16.21,$140.37,$16.21,$196.85,$0.07229,"Jan 15, 2018","Oct 21, 2016",2022-01-26 21:27:23.764325
40,71,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,Zcash,ZEC,"$1,230,968,257.07","$1,899,392,002.06",$89.43,$96.09,$94.36,$90.49,4.1%,"$253,678,509.01",$90.45,"$278,474,877.62",0.2262,0.07%,"13,609,794","21,000,000","13,609,794",$-1.73,$98.43,$89.43,$131.73,$82.28,$131.73,$82.28,$303.95,$82.28,$370.14,$77.72,"$5,941.80",$18.94,"Oct 29, 2016","Mar 13, 2020",2022-01-26 21:27:26.174287
41,73,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png,Celo,CELO,"$1,216,793,208.35","$3,143,265,047.94",$2.94,$3.21,$3.08,$3.08,0.25%,"$75,917,300.11",$3.14,"$80,366,965.16",0.06605,0.07%,"387,111,233","1,000,000,000","1,000,000,000",$0.02182,$3.30,$3.05,$4.42,$2.90,$4.42,$2.90,$6.85,$2.90,$10.66,$1.66,$10.66,$0.7955,"Aug 30, 2021","May 22, 2020",2022-01-26 21:27:28.508559
42,76,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,Oasis Network,ROSE,"$1,103,921,973.59","$3,160,370,604.87",$0.3023,$0.3382,$0.3257,$0.3181,2.33%,"$279,989,530.16",$0.316,"$321,424,182.92",0.2912,0.07%,"3,493,014,306","10,000,000,000","10,000,000,000",$-0.01369,$0.3553,$0.3134,$0.4824,$0.2834,$0.4824,$0.2834,$0.5964,$0.1759,$0.5816,$0.04505,$0.5964,$0.03205,"Jan 15, 2022","Nov 26, 2020",2022-01-26 21:27:30.981089
43,75,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png,Waves,WAVES,"$1,129,130,779.13","$1,129,130,779.13",$8.18,$8.53,$8.53,$8.41,1.44%,"$76,336,735.23",$10.52,"$671,299,021.42",0.5945,0.07%,"107,328,400",No,"107,328,400",$2.11,$11.66,$8.28,$13.60,$7.64,$13.60,$7.64,$27.74,$7.64,$41.33,$5.99,$41.33,$0.1227,"May 04, 2021","Aug 02, 2016",2022-01-26 21:27:33.342891
44,78,https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png,Arweave,AR,"$1,036,396,557.11","$2,048,294,211.99",$30.26,$34.08,$33.26,$32.67,1.79%,"$50,987,685.52",$31.03,"$48,663,582.46",0.04695,0.06%,"33,394,701","66,000,000","63,190,435",$-0.7283,$34.53,$31.02,$45.15,$27.50,$45.15,$27.50,$90.94,$27.50,$90.94,$4.64,$90.94,$0.4854,"Nov 05, 2021","May 27, 2020",2022-01-26 21:27:35.654362
45,81,https://s2.coinmarketcap.com/static/img/coins/64x64/5647.png,Kadena,KDA,"$960,467,359.19","$5,725,432,160.51",$5.07,$5.68,$5.36,$5.33,0.69%,"$26,594,505.79",$5.73,"$52,984,242.60",0.05517,0.06%,"167,754,561","1,000,000,000","1,000,000,000",$0.2211,$6.67,$5.22,$8.17,$4.44,$8.17,$4.44,$28.25,$4.44,$28.25,$0.1433,$28.25,$0.1213,"Nov 11, 2021","Jan 11, 2021",2022-01-26 21:27:37.850647
46,81,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,Dash,DASH,"$984,799,915.42","$1,764,894,767.61",$88.67,$92.01,$90.38,$89.69,0.76%,"$188,010,508.25",$93.38,"$202,401,177.91",0.2055,0.06%,"10,546,078","18,900,000","10,546,078",$2.84,$97.85,$88.85,$133.58,$81.76,$133.58,$81.76,$247.34,$81.76,$476.85,$81.76,"$1,642.22",$0.2139,"Dec 20, 2017","Feb 14, 2014",2022-01-26 21:27:40.484435
